actor;movie;;;;
Edmund Genest;Gía;;;;
Scott Cohen;Gía;;;;
John Considine;Gía;;;;
Louis Giambalvo;Gía;;;;
Kylie Travis;Gía;;;;
Eric Michael Cole;Gía;;;;
Elizabeth Mitchell;Gía;;;;
Angelina Jolie;Gía;;;;
Angela Bettis;Girl, Interrupted;;;;
Whoopi Goldberg;Girl, Interrupted;;;;
Vanessa Redgrave;Girl, Interrupted;;;;
Jeffrey Tambor;Girl, Interrupted;;;;
Jared Leto;Girl, Interrupted;;;;
Elisabeth Moss;Girl, Interrupted;;;;
Brittany Murphy;Girl, Interrupted;;;;
Clea DuVall;Girl, Interrupted;;;;
Winona Ryder;Girl, Interrupted;;;;
Angelina Jolie;Girl, Interrupted;;;;
Angelina Jolie;Mr. & Mrs. Smith;;;;
Olek Krupa;Salt;;;;
Andre Braugher;Salt;;;;
Hunt Block;Salt;;;;
Daniel Pearce;Salt;;;;
August Diehl;Salt;;;;
Daniel Olbrychski;Salt;;;;
Chiwetel Ejiofor;Salt;;;;
Liev Schreiber;Salt;;;;
Angelina Jolie;Salt;;;;
Frank Wood;Changeling;;;;
Michelle Gunn;Changeling;;;;
Gattlin Griffith;Changeling;;;;
Angelina Jolie;Changeling;;;;
Brad Pitt;Once Upon a Time... in Hollywood;;;;
Vince Vaughn;Mr. & Mrs. Smith;;;;
Adam Brody;Mr. & Mrs. Smith;;;;
Kerry Washington;Mr. & Mrs. Smith;;;;
Keith David;Mr. & Mrs. Smith;;;;
Chris Weitz;Mr. & Mrs. Smith;;;;
Rachael Huntley;Mr. & Mrs. Smith;;;;
Michelle Monaghan;Mr. & Mrs. Smith;;;;
Brad Pitt;Mr. & Mrs. Smith;;;;
Brad Pitt;Fight Club;;;;
R. Lee Ermey;Se7en;;;;
Reg E. Cathey;Se7en;;;;
Peter Crombie;Se7en;;;;
Bob Mack;Se7en;;;;
John Cassini;Se7en;;;;
Gwyneth Paltrow;Se7en;;;;
Daniel Zacapa;Se7en;;;;
Andrew Kevin Walker;Se7en;;;;
Morgan Freeman;Se7en;;;;
Brad Pitt;Se7en;;;;
Eddie Jemison;Ocean's Eleven;;;;
Frank Patton III;Ocean's Eleven;;;;
Elliott Gould;Ocean's Eleven;;;;
Tim Perez;Ocean's Eleven;;;;
Lori Galinski;Ocean's Eleven;;;;
Mark Gantt;Ocean's Eleven;;;;
Bernie Mac;Ocean's Eleven;;;;
George Clooney;Ocean's Eleven;;;;
Brad Pitt;Ocean's Eleven;;;;
Jovan Adepo;Babylon;;;;
Hansford Prince;Babylon;;;;
Olivia Wilde;Babylon;;;;
Phoebe Tonkin;Babylon;;;;
Marcos A. Ferraez;Babylon;;;;
Jimmy Ortega;Babylon;;;;
Diego Calva;Babylon;;;;
J.C. Currais;Babylon;;;;
Brad Pitt;Babylon;;;;
Helena Bonham Carter;Fight Club;;;;
Christina Cabot;Fight Club;;;;
Eugenie Bondurant;Fight Club;;;;
David Andrews;Fight Club;;;;
George Maguire;Fight Club;;;;
Richmond Arquette;Fight Club;;;;
Zach Grenier;Fight Club;;;;
Meat Loaf;Fight Club;;;;
Edward Norton;Fight Club;;;;
Edward Norton;Collateral Beauty;;;;
Edward Norton;The Italian Job;;;;
Lukas Haas;Inception;;;;
Michael Caine;Inception;;;;
Pete Postlethwaite;Inception;;;;
